Brute Divide and Conquer
Input Amount,Coins,RunTime
1,1,71.37925243062682
2,1,80.24334260175038
3,2,115.23317222460672
4,2,134.36094575176816
5,3,208.53938455222317
6,1,234.19859294231821
7,2,270.1214846884507
8,2,350.3648272902005
9,3,253.79289753111635
10,3,333.103178009591
11,4,493.58986321309214
12,1,590.628324033813
13,2,608.3565043760609
14,2,1092.6157463563916
15,3,828.0926344076018
16,3,1388.3964394349364
17,4,1144.40069419822
18,2,1299.2890066620619
19,3,2040.606863604976
20,3,1648.2542407673488
21,4,1638.4570884729542
22,4,2014.9476552148853
23,5,2118.5175508985353
24,1,2721.742213596577
25,2,2859.368876779816
26,2,2964.8048967100203
27,3,3271.315804206247
28,3,3974.844645156475
29,4,3713.5872506391456
30,2,4600.462798813141
31,3,5253.60628510646
32,3,7179.9130386101115
33,4,5438.819116576774
34,4,9788.754735290284
35,5,7000.298579879438
36,2,7397.783044395103
37,3,7788.7360740478
38,3,8765.185586056323
39,4,9474.779330807842
40,4,10306.137682646904
41,5,10197.902476346888
42,3,11667.00878944521
43,4,14179.74508742792
44,4,15942.765969358257
45,5,15453.84141676151
46,5,18531.54683038799
47,6,18320.208259465897
48,1,19152.96620448992
49,2,20235.78479855187
50,2,20476.51482635715
51,3,22579.636852221585
52,3,23197.32397783042
53,4,23807.546606453066
54,2,28130.42342359151
55,3,29339.205404295855
56,3,31710.116259540566
57,4,34402.93354731555
58,4,34669.78931457254
59,5,35479.68723757633
60,1,40911.04185716676
61,2,43867.449194767374
62,2,45487.24504077484
63,3,46375.986713195314
64,3,49531.602814115395
65,4,59859.66745665927
66,2,56816.01881053244
67,3,57863.38104390987
68,3,61667.00878944531
69,4,65632.05628230717
70,4,69845.2982999609
71,5,71129.65831265062
72,2,77487.07708959257
73,3,102303.26385130727
74,3,84512.56834680043
75,4,114527.31072834821
76,4,109189.72885214706
77,5,101845.59687984019
78,3,108323.38067068515
79,4,112262.30242409518
80,4,118806.80015675438
81,5,129162.85666299654
82,5,131515.106275776
83,6,139470.8604698902
84,2,143371.99320730765
85,3,148923.2463097392
86,3,153768.17138485066
87,4,163436.56110623828
88,4,171743.61318976583
89,5,177894.35870640256
90,3,183803.44113311064
91,4,198207.1211301246
92,4,201507.82839121463
93,5,215204.24729878496
94,5,222931.40127269685
95,6,230533.99145315101
96,2,243133.12930374843
97,3,253919.7939798834
98,3,265124.93701830663
99,4,276417.32136525656
100,4,288779.4614365431
101,5,311537.77968537086
102,3,341861.3656297236
103,4,329905.5741131243
104,4,343097.2064120024
105,5,355805.9790620858
106,5,371769.2723981569
107,6,384157.07167783176
108,2,402144.17675928795
109,3,414550.17075036874
110,3,436904.47309981904
111,4,451005.3744378286
112,4,472831.5636255065
113,5,489991.97566574
114,3,514916.86416481744
115,4,556614.4773919053
116,4,554175.4530016618
117,5,565664.2469255609
118,5,592238.3227275283
119,6,612412.5254259435
120,2,635367.2532517223
121,3,676555.4145595001
122,3,700987.1797264253
123,4,761154.2911527067
124,4,918715.3600686706
125,5,788887.2301117793
126,3,827226.7527571984
127,4,862087.3532759816
128,4,909811.6147573094
129,5,942844.813107655
130,5,929542.1464161109
131,6,946346.5952563119
132,3,964699.4606900918
133,4,1023398.8653964588
134,4,1089134.4915744483
135,5,1115902.1777669978
136,5,1146632.1122660367
137,6,1178930.5241943034
138,4,1183026.2003844217
139,5,1267313.4342284556
140,5,1259351.148599471
141,6,1311912.8706589295
142,6,1391021.60971877
143,7,1426280.6277641929
144,3,1433734.394535989
145,4,1479595.3309571317
146,4,1562686.3791591248
147,5,1577118.984081963
148,5,1748944.2402075143
149,6,1689973.3144232768
150,4,1764091.5707167792
151,5,1775432.4742941349
152,5,1906282.3072760154
153,6,1913180.4355534
154,6,1971142.254651312
155,7,2080956.2020639305
156,3,2131868.7368204934
157,4,2197138.7649989678
158,4,2244201.018903837
159,5,2334185.0635415255
160,5,2476012.372403744
161,6,2525538.3768451195
162,4,2656391.009013376
163,5,2713809.7859555474
164,5,2660772.2022132236
165,6,2774016.5525220702
166,6,2830606.303767695
167,7,2927977.8677664297
168,3,3028635.67656334
169,4,3090035.3630544688
170,4,3223422.1919495384
171,5,3365843.8613842917
172,5,3425043.8539197887
173,6,3475223.934909579
174,4,3573880.325452066
175,5,3690940.899845117
176,5,3788651.1653945833
177,6,3882311.4747979874
178,6,3995258.6448205663
179,7,4142544.833635043
180,3,4247927.669024222
181,4,4357389.385485277
182,4,4497047.7914419575
183,5,4612995.222721935
184,5,4796214.100434781
185,6,4842459.924981796
186,4,5038957.209771042
187,5,5169252.803851663
188,5,5294447.813835461
189,6,5396369.921809395
190,6,5549197.100042903
191,7,5709750.499188231
192,4,5886153.358090581
193,5,6005039.001996749
194,5,6178010.52494076
195,6,6373396.5327411685
196,6,6680867.094631168
197,7,7413958.609364215
198,5,7210293.074812938
199,6,7203235.392912461
200,6,7683488.999197579
201,7,7710162.912646695
Greedy
Input Amount,Coins,RunTime
1,1,17.261649304600724
2,1,12.129807601013454
3,2,14.462462900155515
4,2,14.928994005458662
5,3,15.86205610237812
6,1,15.395524997074972
7,2,14.462462900155515
8,2,16.795118256140995
9,3,14.462462900155515
10,3,665.7398249672042
11,4,15.86205610237812
12,1,19.594304546899366
13,2,12.596338649473182
14,2,16.795118199297576
15,3,16.795118256140995
16,3,13.995931851695786
17,4,14.928993948615243
18,2,13.529400803236058
19,3,19.594304603742785
20,3,13.529400803236058
21,4,15.86205610237812
22,4,16.328587150837848
23,5,13.995931851695786
24,1,10.263683350331121
25,2,12.596338706316601
26,2,13.06286975477633
27,3,16.328587150837848
28,3,13.529400803236058
29,4,14.928994005458662
30,2,14.928994005458662
31,3,71.84578350916127
32,3,27.525332654931844
33,4,17.261649304600724
34,4,14.462462900155515
35,5,17.261649247757305
36,2,13.06286969793291
37,3,15.395524997074972
38,3,14.462462900155515
39,4,15.39552505391839
40,4,15.86205610237812
41,5,20.060835652202513
42,3,15.86205610237812
43,4,15.39552505391839
44,4,14.462462900155515
45,5,15.39552505391839
46,5,14.928994005458662
47,6,16.328587150837848
48,1,12.129807601013454
49,2,13.529400803236058
50,2,13.06286975477633
51,3,14.928994005458662
52,3,17.261649247757305
53,4,16.328587150837848
54,2,12.129807601013454
55,3,14.462462956998934
56,3,14.928993948615243
57,4,15.86205610237812
58,4,14.928993948615243
59,5,15.39552505391839
60,1,12.596338649473182
61,2,15.395524997074972
62,2,15.86205610237812
63,3,18.66124244997991
64,3,14.462462900155515
65,4,15.8620560455347
66,2,15.86205610237812
67,3,14.928993948615243
68,3,15.86205610237812
69,4,15.86205610237812
70,4,17.728180353060452
71,5,16.795118256140995
72,2,12.596338649473182
73,3,14.462462900155515
74,3,15.395524997074972
75,4,13.995931851695786
76,4,16.795118199297576
77,5,15.86205610237812
78,3,17.261649304600724
79,4,15.86205610237812
80,4,15.86205610237812
81,5,25.192677298946364
82,5,15.86205610237812
83,6,17.261649304600724
84,2,13.995931851695786
85,3,13.995931851695786
86,3,14.928993948615243
87,4,14.462462900155515
88,4,14.928993948615243
89,5,18.66124244997991
90,3,13.995931851695786
91,4,13.995931851695786
92,4,13.06286975477633
93,5,16.328587150837848
94,5,13.995931851695786
95,6,14.928993948615243
96,3,12.596338649473182
97,4,14.462462956998934
98,4,14.462462956998934
99,5,15.8620560455347
100,5,15.39552505391839
101,6,60.18250695660754
102,4,14.462462956998934
103,5,17.261649247757305
104,5,16.795118199297576
105,6,16.328587150837848
106,6,16.795118256140995
107,7,17.261649304600724
108,2,11.663276552553725
109,3,18.66124244997991
110,3,11.663276552553725
111,4,16.328587150837848
112,4,16.795118256140995
113,5,13.52940074639264
114,3,12.596338706316601
115,4,15.86205610237812
116,4,16.795118199297576
117,5,17.261649247757305
118,5,14.928993948615243
119,6,16.795118199297576
120,2,9.797152301871392
121,3,13.06286969793291
122,3,11.663276495710306
123,4,14.928994005458662
124,4,13.995931851695786
125,5,15.86205610237812
126,3,14.462462900155515
127,4,13.995931851695786
128,4,13.995931851695786
129,5,13.995931851695786
130,5,13.529400803236058
131,6,15.39552505391839
132,3,12.129807601013454
133,4,14.462462900155515
134,4,9.797152301871392
135,5,15.395524997074972
136,5,10.730214455634268
137,6,16.328587150837848
138,4,12.596338649473182
139,5,13.995931851695786
140,5,23.79308415356718
141,6,15.39552505391839
142,6,14.928993948615243
143,7,16.328587207681267
144,3,12.596338649473182
145,4,10.263683350331121
146,4,14.928993948615243
147,5,13.529400803236058
148,5,13.995931851695786
149,6,22.393490951344575
150,4,14.462462956998934
151,5,16.328587150837848
152,5,15.395524997074972
153,6,17.261649247757305
154,6,15.395524997074972
155,7,16.795118199297576
156,4,13.06286975477633
157,5,15.395524997074972
158,5,14.928993948615243
159,6,16.795118199297576
160,6,14.928993948615243
161,7,17.728180353060452
162,5,13.995931851695786
163,6,13.995931851695786
164,6,14.462462900155515
165,7,15.86205610237812
166,7,18.19471140152018
167,8,18.19471140152018
168,3,13.529400803236058
169,4,18.19471140152018
170,4,30.324519002533634
171,5,17.261649304600724
172,5,16.328587207681267
173,6,18.661242506823328
174,4,15.86205610237812
175,5,17.261649247757305
176,5,15.86205610237812
177,6,16.328587150837848
178,6,16.328587150837848
179,7,17.728180296217033
180,3,13.529400803236058
181,4,16.328587150837848
182,4,14.462462900155515
183,5,15.86205610237812
184,5,17.261649304600724
185,6,15.86205610237812
186,4,13.06286975477633
187,5,16.328587150837848
188,5,15.395524997074972
189,6,17.728180353060452
190,6,15.86205610237812
191,7,18.19471140152018
192,4,13.06286975477633
193,5,15.86205610237812
194,5,13.995931851695786
195,6,15.86205610237812
196,6,16.795118199297576
197,7,16.795118199297576
198,5,15.39552505391839
199,6,17.261649304600724
200,6,17.728180353060452
201,7,29.857987954073906
Dynamic
Input Amount,Coins,RunTime
1,1,35.922891697737214
2,1,35.92289175458063
3,2,44.32045085422942
4,2,50.851885703195876
5,3,52.25147890541848
6,1,62.04863120728987
7,2,65.78087965181112
8,2,63.91475540112879
9,3,76.97762515590512
10,3,74.17843880830333
11,4,87.24130850623624
12,1,82.57599790795211
13,2,98.90458505878996
14,2,99.37111610724969
15,3,109.16826840912108
16,3,109.63479945758081
17,4,120.36501391321508
18,2,112.90051691048575
19,3,143.22503591301938
20,3,123.16420031766029
21,4,144.624629115242
22,4,132.96135256268826
23,5,148.35687761660665
24,1,149.75647076198584
25,2,162.35280946830244
26,2,166.0850579696671
27,3,172.61649281863356
28,3,186.61242467032935
29,4,188.9450799694714
30,2,201.5414186189446
31,3,122.69766921235714
32,3,224.4014406187489
33,4,225.8010338209715
34,4,223.0018474733697
35,5,237.46431037352522
36,2,232.7989997752411
37,3,249.59411797453868
38,3,254.2594285728228
39,4,236.06471717130262
40,4,242.12962102865276
41,5,258.92473922795034
42,3,174.4826170693159
43,4,273.8537331765656
44,4,263.59004982623446
45,5,290.18232038424685
46,5,294.84763092568755
47,6,302.7786589768766
48,1,260.3243323733295
49,2,323.7725567259986
50,2,307.44396957516074
51,3,325.63868103352434
52,3,335.4358332785523
53,4,290.6488514327066
54,2,334.0362401331731
55,3,197.80917017442334
56,3,202.47448071586405
57,4,362.4946348850244
58,4,383.95506373944954
59,5,381.15587733500433
60,1,380.6893462865446
61,2,390.01996753995627
62,2,408.6812099899362
63,3,361.0950416828018
64,3,445.53716384143627
65,4,252.39330432214047
66,2,356.89626218982085
67,3,357.8293242298969
68,3,405.41549253703124
69,4,264.5231119231539
70,4,267.3222983275991
71,5,411.4803963943814
72,2,372.75831829219896
73,3,490.79067684942856
74,3,501.98742235352256
75,4,404.4824304401118
76,4,287.38313397980164
77,5,391.4195607421789
78,3,540.2429693504018
79,4,520.1821336981993
80,4,404.01589939165206
81,5,411.9469273859977
82,5,583.6303581077118
83,6,417.5453001948881
84,2,553.7723701536379
85,3,604.6242558568338
86,3,614.4214081587052
87,4,636.34836806159
88,4,456.2673782402271
89,5,446.003694889896
90,3,669.4720734117254
91,4,675.5369772122322
92,4,499.18823594907735
93,5,443.67103964759735
94,5,464.1984062914162
95,6,661.0745143120766
96,2,707.2610894169884
97,3,674.6039151153127
98,3,717.9913038726227
99,4,391.41956068533545
100,4,487.99149044498336
101,5,525.7805065070897
102,3,755.7803198778856
103,4,625.6181536627992
104,4,769.3097206811217
105,5,521.1151958519622
106,5,765.577472179757
107,6,800.100770732115
108,2,794.0358669316083
109,3,820.6281373759339
110,3,843.9546905378847
111,4,445.5371638982797
112,4,550.506652700733
113,5,552.8393080567184
114,3,809.4313919286833
115,4,567.7683020053337
116,4,589.2287308597588
117,5,480.9935245475572
118,5,918.1331292893447
119,6,885.9424860361287
