Brute Divide and Conquer
Input Amount,Coins,RunTime
55,3,5191.0911228469595
56,4,4853.789165282624
57,3,4765.148263571389
58,4,5420.157874111257
59,5,6359.284901188721
60,4,6341.090189784834
61,5,6478.25032190643
62,6,6602.814115363801
63,3,6698.452982999606
64,4,7044.619030735063
65,5,6729.244033067711
66,4,7485.957415044694
67,5,7698.229048090019
68,6,10374.717748707713
69,5,7794.800977849098
70,6,8368.167652602315
71,7,8601.433183421339
72,4,8365.834997294125
73,5,9347.882882042302
Greedy
Input Amount,Coins,RunTime
55,3,12.596338664239148
56,4,13.529400787498647
57,3,13.529400787498647
58,4,11.663276540951895
59,5,15.395525034045399
60,4,16.795118218976278
61,5,14.4624629107859
62,6,11.196745479308268
63,3,10.73021441766464
64,4,12.129807602567766
65,5,13.995931849142274
66,4,13.06286972585502
67,5,14.928993972429527
68,6,16.328587157332652
69,5,14.928993972429527
70,6,14.4624629107859
71,7,15.395525034073154
72,4,13.529400787498647
73,5,13.995931849142274
Dynamic
Input Amount,Coins,RunTime
55,3,369.0260697557235
56,4,379.7562841733881
57,3,402.61630619367605
58,4,376.0240356802946
59,5,376.49056674193827
60,4,282.25129229103584
61,5,386.2877190363434
62,6,395.6183402691049
63,3,393.2856849608868
64,4,397.017933454008
65,5,300.44600369491525
66,4,426.4093903371957
67,5,406.34855468676955
68,6,431.54123201524783
69,5,403.0828372553197
70,6,418.4783622893373
71,7,458.1335025286015
72,4,586.4295444790723
73,5,336.3688954410582
